resultId;number;grid;position;positionText;positionOrder;points;laps;milliseconds;fastestLap;fastestLapTime;raceId;driverId;constructorId;statusId
73;5;9;13;13;13;0;21;1879744;8;1:21.044;1077;20;117;1
74;44;13;14;14;14;0;21;1881026;9;1:20.663;1077;1;131;1
75;18;15;15;15;15;0;21;1882477;14;1:20.948;1077;840;117;1
76;31;19;16;16;16;0;21;1883084;14;1:20.995;1077;839;214;1
77;10;17;17;17;17;0;21;1883361;18;1:20.599;1077;842;213;1
78;23;20;18;18;18;0;21;1888438;14;1:21.020;1077;848;3;1
79;6;18;19;19;19;0;21;1891584;16;1:21.437;1077;849;3;1
80;24;0;\N;R;20;0;0;\N;\N;\N;1077;855;51;31
81;1;1;1;1;1;8;23;1590059;5;1:08.455;1084;830;9;1
82;16;2;2;2;2;7;23;1591734;4;1:08.321;1084;844;6;1
83;55;3;3;3;3;6;23;1595703;4;1:08.409;1084;832;6;1
84;63;4;4;4;4;5;23;1603488;4;1:08.979;1084;847;131;1
85;11;13;5;5;5;4;23;1608361;14;1:09.137;1084;815;9;1
86;31;5;6;6;6;3;23;1621091;4;1:09.384;1084;839;214;1
87;20;6;7;7;7;2;23;1624598;4;1:09.232;1084;825;210;1
88;44;9;8;8;8;1;23;1625506;7;1:09.516;1084;1;131;1
89;47;7;9;9;9;0;23;1627222;4;1:09.457;1084;854;210;1
90;77;12;10;10;10;0;23;1627616;4;1:09.674;1084;822;51;1
91;4;15;11;11;11;0;23;1628639;8;1:09.909;1084;846;1;1
92;3;16;12;12;12;0;23;1629797;8;1:09.996;1084;817;1;1
93;18;17;13;13;13;0;23;1638300;4;1:10.295;1084;840;117;1
94;24;18;14;14;14;0;23;1640812;11;1:10.165;1084;855;51;1
95;10;10;15;15;15;0;23;1642184;4;1:10.409;1084;842;213;1
96;23;11;16;16;16;0;23;1642471;5;1:10.367;1084;848;3;1
97;22;14;17;17;17;0;23;1644615;4;1:10.267;1084;852;213;1
98;6;19;18;18;18;0;23;1658753;4;1:10.284;1084;849;3;1
99;5;20;19;19;19;0;21;\N;4;1:10.317;1084;20;117;130
100;14;8;\N;N;20;0;0;\N;\N;\N;1084;4;214;10
101;63;3;1;1;1;8;24;1811307;4;1:14.233;1095;847;131;1
102;55;5;2;2;2;7;24;1815302;2;1:14.522;1095;832;6;1
103;44;8;3;3;3;6;24;1815799;3;1:14.317;1095;1;131;1
104;1;2;4;4;4;5;24;1821801;5;1:14.507;1095;830;9;1
105;11;9;5;5;5;4;24;1823162;5;1:14.699;1095;815;9;1
106;16;10;6;6;6;3;24;1824440;4;1:15.236;1095;844;6;1
107;4;4;7;7;7;2;24;1836931;4;1:15.380;1095;846;1;1
108;20;1;8;8;8;1;24;1840075;2;1:15.110;1095;825;210;1
109;5;13;9;9;9;0;24;1841525;4;1:15.451;1095;20;117;1
110;10;12;10;10;10;0;24;1845477;3;1:15.290;1095;842;213;1
111;3;14;11;11;11;0;24;1850702;5;1:15.385;1095;817;1;1
112;47;20;12;12;12;0;24;1852466;5;1:15.771;1095;854;210;1
113;24;17;13;13;13;0;24;1853070;7;1:15.765;1095;855;51;1
114;77;18;14;14;14;0;24;1853645;8;1:15.980;1095;822;51;1
115;22;19;15;15;15;0;24;1861613;4;1:16.413;1095;852;213;1
116;18;15;16;16;16;0;24;1862007;4;1:15.425;1095;840;117;1
117;31;6;17;17;17;0;24;1863063;5;1:16.097;1095;839;214;1
118;14;7;18;18;18;0;24;1865292;5;1:14.764;1095;4;214;1
119;6;16;19;19;19;0;24;1888157;4;1:16.525;1095;849;3;1
120;23;11;\N;R;20;0;12;\N;4;1:15.998;1095;848;3;31
121;11;2;1;1;1;8;17;1997667;11;1:43.616;1101;815;9;1
122;16;1;2;2;2;7;17;2002130;12;1:43.646;1101;844;6;1
123;1;3;3;3;3;6;17;2002732;10;1:43.723;1101;830;9;1
124;63;4;4;4;4;5;17;2001134;10;1:44.409;1101;847;131;1
125;55;5;5;5;5;4;17;2008055;11;1:44.398;1101;832;6;1
126;14;8;6;6;6;3;17;2009280;12;1:44.544;1101;4;117;1
127;44;6;7;7;7;2;17;2002557;8;1:44.601;1101;1;131;1
128;18;9;8;8;8;1;17;2016084;14;1:44.855;1101;840;117;1
129;23;7;9;9;9;0;17;2019424;10;1:44.915;1101;848;3;1
130;81;11;10;10;10;0;17;2020518;8;1:44.776;1101;857;1;1
131;20;13;11;11;11;0;17;2025657;14;1:45.349;1101;825;210;1
132;24;14;12;12;12;0;17;2032269;16;1:45.766;1101;855;51;1
133;10;17;13;13;13;0;17;2034585;12;1:45.883;1101;842;214;1
134;21;18;14;14;14;0;17;2039293;17;1:45.768;1101;856;213;1
135;27;12;15;15;15;0;17;2046254;8;1:45.971;1101;807;210;1
136;77;15;16;16;16;0;17;2047584;9;1:46.277;1101;822;51;1
137;4;10;17;17;17;0;17;2048771;15;1:44.484;1101;846;1;1
138;31;0;18;18;18;0;17;2058288;15;1:45.090;1101;839;214;1
139;22;16;\N;R;19;0;2;\N;\N;\N;1101;852;213;130
140;2;0;\N;W;20;0;0;\N;\N;\N;1101;858;3;3
141;1;1;1;1;1;8;24;1826730;19;1:14.292;1107;830;9;1
142;11;2;2;2;2;7;24;1847778;16;1:15.492;1107;815;9;1
143;55;5;3;3;3;6;24;1849818;16;1:15.457;1107;832;6;1
144;18;7;4;4;4;5;24;1856433;23;1:15.531;1107;840;117;1
145;14;6;5;5;5;4;24;1856839;18;1:14.978;1107;4;117;1
146;27;4;6;6;6;3;24;1858027;24;1:10.180;1107;807;210;1
147;31;8;7;7;7;2;24;1863332;22;1:15.512;1107;839;214;1
148;63;15;8;8;8;1;24;1863341;23;1:10.385;1107;847;131;1
149;4;3;9;9;9;0;24;1865338;19;1:15.627;1107;846;1;1
150;44;18;10;10;10;0;24;1873105;24;1:10.775;1107;1;131;1
151;81;17;11;11;11;0;24;1876537;24;1:10.274;1107;857;1;1
152;16;9;12;12;12;0;24;1877519;24;1:10.686;1107;844;6;1
153;23;11;13;13;13;0;24;1879578;24;1:11.635;1107;848;3;1
154;20;10;14;14;14;0;24;1883323;23;1:10.539;1107;825;210;1
155;10;12;15;15;15;0;24;1884382;22;1:16.109;1107;842;214;1
156;22;13;16;16;16;0;24;1891552;23;1:11.363;1107;852;213;1
157;21;14;17;17;17;0;24;1892347;22;1:11.701;1107;856;213;1
158;2;20;18;18;18;0;24;1892789;21;1:11.829;1107;858;3;1
159;24;16;19;19;19;0;24;1897555;22;1:11.305;1107;855;51;1
160;77;0;20;20;20;0;24;1903165;22;1:16.758;1107;822;51;1
161;1;1;1;1;1;8;11;1498433;6;1:58.943;1110;830;9;1
162;81;2;2;2;2;7;11;1505110;2;2:00.360;1110;857;1;1
163;10;6;3;3;3;6;11;1509166;6;2:01.857;1110;842;214;1
164;55;3;4;4;4;5;11;1511081;7;2:01.472;1110;832;6;1
165;16;4;5;5;5;4;11;1513449;7;2:02.635;1110;844;6;1
166;4;5;6;6;6;3;11;1514485;8;2:02.085;1110;846;1;1
167;44;7;7;7;7;2;11;1515190;7;2:00.920;1110;1;131;1
168;63;10;8;8;8;1;11;1515255;10;2:01.935;1110;847;131;1
169;31;9;9;9;9;0;11;1520843;6;2:03.061;1110;839;214;1
170;3;11;10;10;10;0;11;1521239;8;2:02.967;1110;817;213;1
171;18;14;11;11;11;0;11;1523440;6;2:03.356;1110;840;117;1
172;23;12;12;12;12;0;11;1524736;6;2:03.674;1110;848;3;1
173;77;17;13;13;13;0;11;1525439;6;2:03.595;1110;822;51;1
174;20;18;14;14;14;0;11;1531419;6;2:03.965;1110;825;210;1
175;24;19;15;15;15;0;11;1534775;6;2:04.760;1110;855;51;1
176;2;13;16;16;16;0;11;1536004;6;2:03.482;1110;858;3;1
177;27;20;17;17;17;0;11;1536260;6;2:03.472;1110;807;210;1
178;22;16;18;18;18;0;11;1537700;7;2:02.080;1110;852;213;1
179;11;8;\N;R;19;0;8;\N;2;2:02.516;1110;815;9;130
180;14;15;\N;R;20;0;2;\N;\N;\N;1110;4;117;3
